Day,Time,Room Number
Tu,03:30 PM-04:50 PM,UB70402
Mo,02:00 PM-03:20 PM,UB70401
Th,11:00 AM-12:20 PM,UB41001
Th,12:30 PM-01:50 PM,UB41001
We,02:00 PM-03:20 PM,UB70401
Mo,03:30 PM-04:50 PM,UB80401
Th,08:00 AM-09:20 AM,UB41003
Th,09:30 AM-10:50 AM,UB41003
We,03:30 PM-04:50 PM,UB80401
Mo,12:30 PM-01:50 PM,UB70401
Th,11:00 AM-12:20 PM,UB41101
Th,12:30 PM-01:50 PM,UB41101
We,12:30 PM-01:50 PM,UB70401
Su,02:00 PM-03:20 PM,UB70502
Th,02:00 PM-03:20 PM,UB41103
Th,03:30 PM-04:50 PM,UB41103
Tu,02:00 PM-03:20 PM,UB70502
Mo,12:30 PM-01:50 PM,UB30403
Th,02:00 PM-03:20 PM,UB80404
Th,03:30 PM-04:50 PM,UB80404
We,12:30 PM-01:50 PM,UB30403
Mo,02:00 PM-03:20 PM,UB80302
Th,11:00 AM-12:20 PM,UB41003
Th,12:30 PM-01:50 PM,UB41003
We,02:00 PM-03:20 PM,UB80302
